Day,Month,Year,Sample_DOY,Plot,Heat_Treatment,Genus,Species,Miscellaneous,Subspecies,Other,Prev_names,Mass_g_per_m2,lbs_per_acre
20,8,2007,232,64,High,Solidago,nemoralis,NA,NA,NA,NA,32.1,280.2009
20,8,2007,232,64,High,Sorghastrum,nutans,NA,NA,NA,NA,5.53,48.27137
20,8,2007,232,64,High,Stipa,NA,NA,NA,NA,NA,4,34.916
24,8,2007,236,64,Low,Achillea,millefolium,NA,lanulosa,NA,NA,0.83,7.245069999999999
24,8,2007,236,64,Low,Andropogon,gerardi,NA,NA,NA,NA,13.93,121.59496999999999
24,8,2007,236,64,Low,Bouteloua,curtipendula,NA,NA,NA,NA,0.2,1.7458
24,8,2007,236,64,Low,Bouteloua,gracilis,NA,NA,NA,NA,27.1,236.55589999999998
24,8,2007,236,64,Low,Coreopsis,palmata,NA,NA,NA,NA,4.4,38.4076
24,8,2007,236,64,Low,Koeleria,cristata,NA,NA,NA,NA,0.83,7.245069999999999
24,8,2007,236,64,Low,Lespedeza,capitata,NA,NA,NA,NA,44.1,384.9489
24,8,2007,236,64,Low,Liatris,NA,NA,NA,NA,NA,14,122.20599999999999
24,8,2007,236,64,Low,Lupinus,perennis,NA,NA,NA,NA,27.87,243.27722999999997
24,8,2007,236,64,Low,,NA,Miscellaneous litter,NA,NA,NA,1.87,16.32323
24,8,2007,236,64,Low,Petalostemum,candidum,NA,NA,NA,NA,3,26.186999999999998
24,8,2007,236,64,Low,Petalostemum,purpureum,NA,NA,NA,NA,9.33,81.44157
24,8,2007,236,64,Low,Schizachyrium,scoparium,NA,NA,NA,NA,10.97,95.75713
24,8,2007,236,64,Low,Solidago,rigida,NA,NA,NA,NA,39.57,345.40653
24,8,2007,236,64,Low,Sporobolus,cryptandrus,NA,NA,NA,NA,0.6,5.237399999999999
20,8,2007,232,69,Control,,NA,Unsorted biomass,NA,NA,NA,58.85,513.70165
20,8,2007,232,69,High,Achillea,millefolium,NA,lanulosa,NA,NA,3.53,30.813369999999995
20,8,2007,232,69,High,Agropyron,repens,NA,NA,NA,NA,0.37,3.2297299999999995
20,8,2007,232,69,High,Aristida,basiramea,NA,NA,NA,NA,6.53,57.00037
20,8,2007,232,69,High,Crepis,tectorum,NA,NA,NA,NA,0.83,7.245069999999999
20,8,2007,232,69,High,Cyperus,NA,NA,NA,NA,NA,3.17,27.67093
20,8,2007,232,69,High,Digitaria,NA,NA,NA,NA,NA,0.1,0.8729
20,8,2007,232,69,High,Erigeron,canadensis,NA,NA,NA,NA,8.33,72.71257
20,8,2007,232,69,High,Hedeoma,NA,NA,NA,NA,NA,1.3,11.3477
20,8,2007,232,69,High,Lepidium,densiflorum,NA,NA,NA,NA,0.13,1.1347699999999998
20,8,2007,232,69,High,Lupinus,perennis,NA,NA,NA,NA,0.37,3.2297299999999995
20,8,2007,232,69,High,,NA,Miscellaneous litter,NA,NA,NA,0.7,6.110299999999999
20,8,2007,232,69,High,Physalis,virginiana,NA,NA,NA,NA,0.43,3.7534699999999996
20,8,2007,232,69,High,Taraxicum,officinalis,NA,NA,NA,NA,0.06,0.52374
24,8,2007,236,69,Low,Achillea,millefolium,NA,lanulosa,NA,NA,2.97,25.92513
24,8,2007,236,69,Low,Agrostis,scabra,NA,NA,NA,NA,0.47,4.1026299999999996
24,8,2007,236,69,Low,Ambrosia,artemisiifolia,NA,elatior,NA,NA,0.47,4.1026299999999996
24,8,2007,236,69,Low,Aristida,basiramea,NA,NA,NA,NA,9.53,83.18736999999999
24,8,2007,236,69,Low,Bouteloua,gracilis,NA,NA,NA,NA,0.1,0.8729
24,8,2007,236,69,Low,Crepis,tectorum,NA,NA,NA,NA,1.33,11.60957
24,8,2007,236,69,Low,Cyperus,NA,NA,NA,NA,NA,1.7,14.839299999999998
24,8,2007,236,69,Low,Eragrostis,NA,NA,NA,NA,NA,1.63,14.228269999999998
24,8,2007,236,69,Low,Erigeron,canadensis,NA,NA,NA,NA,2.67,23.30643
24,8,2007,236,69,Low,Hedeoma,NA,NA,NA,NA,NA,0.2,1.7458
24,8,2007,236,69,Low,Lespedeza,capitata,NA,NA,NA,NA,0.1,0.8729
24,8,2007,236,69,Low,,NA,Miscellaneous litter,NA,NA,NA,0.93,8.11797
24,8,2007,236,69,Low,Physalis,virginiana,NA,NA,NA,NA,1.97,17.196129999999997
24,8,2007,236,69,Low,Schizachyrium,scoparium,NA,NA,NA,NA,0.23,2.00767
23,8,2007,235,78,Control,Amorpha,canescens,NA,NA,NA,NA,9.3,81.1797
21,8,2007,233,78,Control,,NA,Unsorted biomass,NA,NA,NA,216.13,1886.5987699999998
23,8,2007,235,78,High,Andropogon,gerardi,NA,NA,NA,NA,22.6,197.2754
23,8,2007,235,78,High,Bouteloua,gracilis,NA,NA,NA,NA,0.73,6.37217
23,8,2007,235,78,High,Lespedeza,capitata,NA,NA,NA,NA,7.03,61.364869999999996
23,8,2007,235,78,High,Lupinus,perennis,NA,NA,NA,NA,20.9,182.43609999999998
23,8,2007,235,78,High,Petalostemum,purpureum,NA,NA,NA,NA,0.3,2.6186999999999996
23,8,2007,235,78,High,Poa,pratensis,NA,NA,NA,NA,1.3,11.3477
23,8,2007,235,78,High,Schizachyrium,scoparium,NA,NA,NA,NA,10.87,94.88422999999999
23,8,2007,235,78,High,Solidago,rigida,NA,NA,NA,NA,133,1160.9569999999999
23,8,2007,235,78,High,Sorghastrum,nutans,NA,NA,NA,NA,1.4,12.220599999999997
28,8,2007,240,78,Low,Amorpha,canescens,NA,NA,NA,NA,47.8,417.24619999999993
28,8,2007,240,78,Low,Andropogon,gerardi,NA,NA,NA,NA,19.1,166.7239
28,8,2007,240,78,Low,Bouteloua,gracilis,NA,NA,NA,NA,9.93,86.67896999999999
28,8,2007,240,78,Low,Coreopsis,palmata,NA,NA,NA,NA,1.03,8.99087
28,8,2007,240,78,Low,Erigeron,canadensis,NA,NA,NA,NA,4.17,36.39993
28,8,2007,240,78,Low,Lespedeza,capitata,NA,NA,NA,NA,9.53,83.18736999999999
28,8,2007,240,78,Low,Liatris,NA,NA,NA,NA,NA,11.03,96.28086999999998
28,8,2007,240,78,Low,Lupinus,perennis,NA,NA,NA,NA,10.27,89.64683
28,8,2007,240,78,Low,Petalostemum,purpureum,NA,NA,NA,NA,6.53,57.00037
28,8,2007,240,78,Low,Poa,pratensis,NA,NA,NA,NA,0.9,7.8561
28,8,2007,240,78,Low,Schizachyrium,scoparium,NA,NA,NA,NA,10.83,94.53506999999999
28,8,2007,240,78,Low,Solidago,nemoralis,NA,NA,NA,NA,3.43,29.940469999999998
28,8,2007,240,78,Low,Solidago,rigida,NA,NA,NA,NA,9.47,82.66363
20,8,2007,232,82,Control,,NA,Unsorted biomass,NA,NA,NA,230.83,2014.91507
28,8,2007,240,82,High,Achillea,millefolium,NA,lanulosa,NA,NA,0.33,2.88057
28,8,2007,240,82,High,Agropyron,repens,NA,NA,NA,NA,0.07,0.61103
28,8,2007,240,82,High,Andropogon,gerardi,NA,NA,NA,NA,136.63,1192.6432699999998
28,8,2007,240,82,High,Lespedeza,capitata,NA,NA,NA,NA,16.13,140.79877
28,8,2007,240,82,High,Liatris,NA,NA,NA,NA,NA,15.13,132.06977
28,8,2007,240,82,High,Lupinus,perennis,NA,NA,NA,NA,45.7,398.9153
28,8,2007,240,82,High,Panicum,virgatum,NA,NA,NA,NA,0.47,4.1026299999999996
28,8,2007,240,82,High,Poa,pratensis,NA,NA,NA,NA,11.6,101.25639999999999
28,8,2007,240,82,High,Schizachyrium,scoparium,NA,NA,NA,NA,27.1,236.55589999999998
28,8,2007,240,82,High,Solidago,rigida,NA,NA,NA,NA,0.93,8.11797
28,8,2007,240,82,High,Sorghastrum,nutans,NA,NA,NA,NA,0.5,4.3645
28,8,2007,240,82,Low,Achillea,millefolium,NA,lanulosa,NA,NA,0.13,1.1347699999999998
28,8,2007,240,82,Low,Agropyron,repens,NA,NA,NA,NA,0.6,5.237399999999999
28,8,2007,240,82,Low,Andropogon,gerardi,NA,NA,NA,NA,61.8,539.4522
28,8,2007,240,82,Low,Liatris,NA,NA,NA,NA,NA,3.73,32.559169999999995
28,8,2007,240,82,Low,Lupinus,perennis,NA,NA,NA,NA,80.1,699.1928999999999
28,8,2007,240,82,Low,Panicum,virgatum,NA,NA,NA,NA,2.4,20.949599999999997
28,8,2007,240,82,Low,Poa,pratensis,NA,NA,NA,NA,22.67,197.88643
28,8,2007,240,82,Low,Schizachyrium,scoparium,NA,NA,NA,NA,69.7,608.4113
28,8,2007,240,82,Low,Solidago,rigida,NA,NA,NA,NA,1.53,13.355369999999999
28,8,2007,240,82,Low,Sorghastrum,nutans,NA,NA,NA,NA,10.9,95.14609999999999
21,8,2007,233,83,Control,,NA,Unsorted biomass,NA,NA,NA,163.38,1426.1440199999997
23,8,2007,235,83,High,Achillea,millefolium,NA,lanulosa,NA,NA,0.07,0.61103
23,8,2007,235,83,High,Agropyron,repens,NA,NA,NA,NA,16.8,146.6472
23,8,2007,235,83,High,Aristida,basiramea,NA,NA,NA,NA,1.87,16.32323
23,8,2007,235,83,High,Crepis,tectorum,NA,NA,NA,NA,0.53,4.62637
23,8,2007,235,83,High,Cyperus,NA,NA,NA,NA,NA,0.47,4.1026299999999996
23,8,2007,235,83,High,Erigeron,canadensis,NA,NA,NA,NA,1.37,11.95873
23,8,2007,235,83,High,Euphorbia,NA,NA,NA,NA,NA,0.15,1.3093499999999998
23,8,2007,235,83,High,Hieracium,aurantiacum,NA,NA,NA,NA,0.53,4.62637
23,8,2007,235,83,High,Lepidium,densiflorum,NA,NA,NA,NA,0,0
23,8,2007,235,83,High,Lespedeza,capitata,NA,NA,NA,NA,0.9,7.8561
23,8,2007,235,83,High,Lupinus,perennis,NA,NA,NA,NA,28.77,251.13332999999997
23,8,2007,235,83,High,Panicum,oligosanthes,NA,NA,NA,NA,2.07,18.069029999999998
23,8,2007,235,83,High,Polygonum,convolvulus,NA,NA,NA,NA,0.1,0.8729
23,8,2007,235,83,High,Rumex,acetosella,NA,NA,NA,NA,1.9,16.585099999999997
23,8,2007,235,83,High,Sorghastrum,nutans,NA,NA,NA,NA,0.13,1.1347699999999998
23,8,2007,235,83,High,Taraxicum,officinalis,NA,NA,NA,NA,0.5,4.3645
30,8,2007,242,83,Low,Achillea,millefolium,NA,lanulosa,NA,NA,0.05,0.43645
30,8,2007,242,83,Low,Agropyron,repens,NA,NA,NA,NA,64.47,562.7586299999999
30,8,2007,242,83,Low,Aristida,basiramea,NA,NA,NA,NA,0.4,3.4916
30,8,2007,242,83,Low,Crepis,tectorum,NA,NA,NA,NA,0.1,0.8729
30,8,2007,242,83,Low,Cyperus,NA,NA,NA,NA,NA,3.37,29.416729999999998
30,8,2007,242,83,Low,Erigeron,canadensis,NA,NA,NA,NA,0.7,6.110299999999999
30,8,2007,242,83,Low,Euphorbia,NA,NA,NA,NA,NA,0.17,1.48393
30,8,2007,242,83,Low,Lepidium,densiflorum,NA,NA,NA,NA,0.17,1.48393
30,8,2007,242,83,Low,Lespedeza,capitata,NA,NA,NA,NA,1.67,14.577429999999998
30,8,2007,242,83,Low,Lupinus,perennis,NA,NA,NA,NA,94.5,824.8905
30,8,2007,242,83,Low,Polygonum,convolvulus,NA,NA,NA,NA,0.13,1.1347699999999998
21,8,2007,233,105,Control,,NA,Unsorted biomass,NA,NA,NA,165.1,1441.1579
23,8,2007,235,105,High,Andropogon,gerardi,NA,NA,NA,NA,3.87,33.78123
23,8,2007,235,105,High,Bouteloua,gracilis,NA,NA,NA,NA,4.73,41.28817
23,8,2007,235,105,High,Coreopsis,palmata,NA,NA,NA,NA,1.53,13.355369999999999
22,8,2007,234,105,High,Koeleria,cristata,NA,NA,NA,NA,0.06,0.52374
23,8,2007,235,105,High,Lespedeza,capitata,NA,NA,NA,NA,30.1,262.74289999999996
23,8,2007,235,105,High,Liatris,NA,NA,NA,NA,NA,17.77,155.11433
23,8,2007,235,105,High,Lupinus,perennis,NA,NA,NA,NA,65.8,574.3681999999999
23,8,2007,235,105,High,Panicum,virgatum,NA,NA,NA,NA,2.63,22.957269999999998
22,8,2007,234,105,High,Polygonum,convolvulus,NA,NA,NA,NA,0.06,0.52374
23,8,2007,235,105,High,Schizachyrium,scoparium,NA,NA,NA,NA,25.17,219.70892999999998
23,8,2007,235,105,High,Solidago,rigida,NA,NA,NA,NA,5.77,50.36632999999999
23,8,2007,235,105,High,Sorghastrum,nutans,NA,NA,NA,NA,2.7,23.5683
24,8,2007,236,105,Low,Amorpha,canescens,NA,NA,NA,NA,27.67,241.53143
24,8,2007,236,105,Low,Andropogon,gerardi,NA,NA,NA,NA,41.5,362.2535
24,8,2007,236,105,Low,Bouteloua,gracilis,NA,NA,NA,NA,9.63,84.06027
24,8,2007,236,105,Low,Coreopsis,palmata,NA,NA,NA,NA,17.07,149.00403
24,8,2007,236,105,Low,Crepis,tectorum,NA,NA,NA,NA,0.13,1.1347699999999998
24,8,2007,236,105,Low,Lespedeza,capitata,NA,NA,NA,NA,3.23,28.19467
24,8,2007,236,105,Low,Lupinus,perennis,NA,NA,NA,NA,44.13,385.21076999999997
24,8,2007,236,105,Low,Petalostemum,villosum,NA,NA,NA,NA,2.3,20.076699999999995
24,8,2007,236,105,Low,Schizachyrium,scoparium,NA,NA,NA,NA,45.37,396.03472999999997
24,8,2007,236,105,Low,Solidago,nemoralis,NA,NA,NA,NA,4.07,35.527029999999996
24,8,2007,236,105,Low,Solidago,rigida,NA,NA,NA,NA,65.53,572.0113699999999
24,8,2007,236,105,Low,Sorghastrum,nutans,NA,NA,NA,NA,2.27,19.814829999999997
24,8,2007,236,105,Low,Stipa,NA,NA,NA,NA,NA,1.63,14.228269999999998
21,8,2007,233,108,Control,,NA,Unsorted biomass,NA,NA,NA,349.93,3054.5389699999996
22,8,2007,234,108,High,Amorpha,canescens,NA,NA,NA,NA,33.2,289.8028
22,8,2007,234,108,High,Andropogon,gerardi,NA,NA,NA,NA,33.1,288.9299
22,8,2007,234,108,High,Bouteloua,gracilis,NA,NA,NA,NA,4.6,40.15339999999999
22,8,2007,234,108,High,Cyperus,NA,NA,NA,NA,NA,0.43,3.7534699999999996
22,8,2007,234,108,High,Eragrostis,NA,NA,NA,NA,NA,0.17,1.48393
22,8,2007,234,108,High,Koeleria,cristata,NA,NA,NA,NA,0.27,2.35683
22,8,2007,234,108,High,Lespedeza,capitata,NA,NA,NA,NA,0.2,1.7458
22,8,2007,234,108,High,Liatris,NA,NA,NA,NA,NA,0.83,7.245069999999999
22,8,2007,234,108,High,Lupinus,perennis,NA,NA,NA,NA,35.8,312.49819999999994
22,8,2007,234,108,High,,NA,Miscellaneous litter,NA,NA,NA,1.23,10.736669999999998
22,8,2007,234,108,High,Panicum,oligosanthes,NA,NA,NA,NA,0.09,0.7856099999999999
22,8,2007,234,108,High,Panicum,virgatum,NA,NA,NA,NA,1.63,14.228269999999998
22,8,2007,234,108,High,Petalostemum,purpureum,NA,NA,NA,NA,23.63,206.26626999999996
22,8,2007,234,108,High,Poa,pratensis,NA,NA,NA,NA,1.03,8.99087
22,8,2007,234,108,High,Schizachyrium,scoparium,NA,NA,NA,NA,82,715.7779999999999
22,8,2007,234,108,High,Sorghastrum,nutans,NA,NA,NA,NA,4.97,43.383129999999994
22,8,2007,234,108,High,Sporobolus,cryptandrus,NA,NA,NA,NA,3.63,31.686269999999997
30,8,2007,242,108,Low,Amorpha,canescens,NA,NA,NA,NA,109.53,956.08737
30,8,2007,242,108,Low,Andropogon,gerardi,NA,NA,NA,NA,33.9,295.9131
30,8,2007,242,108,Low,Bouteloua,gracilis,NA,NA,NA,NA,0.37,3.2297299999999995
30,8,2007,242,108,Low,Koeleria,cristata,NA,NA,NA,NA,3.13,27.321769999999997
30,8,2007,242,108,Low,Liatris,NA,NA,NA,NA,NA,0.7,6.110299999999999
30,8,2007,242,108,Low,Lupinus,perennis,NA,NA,NA,NA,29.13,254.27576999999997
30,8,2007,242,108,Low,,NA,Miscellaneous litter,NA,NA,NA,6.83,59.619069999999994
30,8,2007,242,108,Low,Petalostemum,purpureum,NA,NA,NA,NA,11.63,101.51827
30,8,2007,242,108,Low,Poa,pratensis,NA,NA,NA,NA,6.97,60.84112999999999
30,8,2007,242,108,Low,Schizachyrium,scoparium,NA,NA,NA,NA,25.4,221.71659999999997
30,8,2007,242,108,Low,Sorghastrum,nutans,NA,NA,NA,NA,14.47,126.30863
30,8,2007,242,108,Low,Sporobolus,cryptandrus,NA,NA,NA,NA,0.83,7.245069999999999
20,8,2007,232,109,Control,,NA,Unsorted biomass,NA,NA,NA,54.85,478.78565
28,8,2007,240,109,High,Agrostis,scabra,NA,NA,NA,NA,0.08,0.6983199999999999
28,8,2007,240,109,High,Andropogon,gerardi,NA,NA,NA,NA,36.97,322.71112999999997
28,8,2007,240,109,High,Bouteloua,gracilis,NA,NA,NA,NA,0.43,3.7534699999999996
28,8,2007,240,109,High,Koeleria,cristata,NA,NA,NA,NA,0.1,0.8729
28,8,2007,240,109,High,Schizachyrium,scoparium,NA,NA,NA,NA,5.13,44.77976999999999
28,8,2007,240,109,High,Sorghastrum,nutans,NA,NA,NA,NA,1.93,16.84697
24,8,2007,236,109,Low,Andropogon,gerardi,NA,NA,NA,NA,64.2,560.4018
24,8,2007,236,109,Low,Bouteloua,gracilis,NA,NA,NA,NA,0.63,5.499269999999999
23,8,2007,235,109,Low,Cyperus,NA,NA,NA,NA,NA,0.31,2.70599
23,8,2007,235,109,Low,Digitaria,NA,NA,NA,NA,NA,0.18,1.5712199999999998
24,8,2007,236,109,Low,Lespedeza,capitata,NA,NA,NA,NA,1.7,14.839299999999998
24,8,2007,236,109,Low,,NA,Miscellaneous litter,NA,NA,NA,1.13,9.863769999999999
23,8,2007,235,109,Low,Sporobolus,cryptandrus,NA,NA,NA,NA,0.27,2.35683
24,8,2007,236,109,Low,Stipa,NA,NA,NA,NA,NA,0.93,8.11797
20,8,2007,232,110,Control,,NA,Unsorted biomass,NA,NA,NA,163.13,1423.96177
20,8,2007,232,110,High,Agropyron,repens,NA,NA,NA,NA,1.7,14.839299999999998
20,8,2007,232,110,High,Andropogon,gerardi,NA,NA,NA,NA,22.67,197.88643
20,8,2007,232,110,High,Bouteloua,gracilis,NA,NA,NA,NA,0.13,1.1347699999999998
20,8,2007,232,110,High,Cyperus,NA,NA,NA,NA,NA,0.03,0.26187
20,8,2007,232,110,High,Lespedeza,capitata,NA,NA,NA,NA,56.8,495.8071999999999
20,8,2007,232,110,High,Lupinus,perennis,NA,NA,NA,NA,30.33,264.75057
20,8,2007,232,110,High,Panicum,oligosanthes,NA,NA,NA,NA,0.67,5.84843
20,8,2007,232,110,High,Panicum,virgatum,NA,NA,NA,NA,76.37,666.63373
20,8,2007,232,110,High,Poa,pratensis,NA,NA,NA,NA,15.23,132.94267
20,8,2007,232,110,High,Sorghastrum,nutans,NA,NA,NA,NA,37.13,324.10777
20,8,2007,232,110,High,Sporobolus,cryptandrus,NA,NA,NA,NA,2.3,20.076699999999995
30,8,2007,242,110,Low,Agropyron,repens,NA,NA,NA,NA,1.13,9.863769999999999
30,8,2007,242,110,Low,Andropogon,gerardi,NA,NA,NA,NA,33.3,290.67569999999995
30,8,2007,242,110,Low,Bouteloua,gracilis,NA,NA,NA,NA,0.1,0.8729
30,8,2007,242,110,Low,Eragrostis,NA,NA,NA,NA,NA,3.53,30.813369999999995
30,8,2007,242,110,Low,Lespedeza,capitata,NA,NA,NA,NA,60.03,524.0018699999999
30,8,2007,242,110,Low,Liatris,NA,NA,NA,NA,NA,0.33,2.88057
30,8,2007,242,110,Low,Lupinus,perennis,NA,NA,NA,NA,22.7,198.14829999999998
30,8,2007,242,110,Low,Panicum,oligosanthes,NA,NA,NA,NA,0.43,3.7534699999999996
30,8,2007,242,110,Low,Panicum,virgatum,NA,NA,NA,NA,90.77,792.3313299999999
30,8,2007,242,110,Low,Poa,pratensis,NA,NA,NA,NA,12.6,109.98539999999998
30,8,2007,242,110,Low,Schizachyrium,scoparium,NA,NA,NA,NA,19.7,171.96129999999997
30,8,2007,242,110,Low,Sorghastrum,nutans,NA,NA,NA,NA,19.37,169.08073
21,8,2007,233,137,Control,,NA,Unsorted biomass,NA,NA,NA,197.8,1726.5962
30,8,2007,242,137,High,Agropyron,repens,NA,NA,NA,NA,23.43,204.52047
30,8,2007,242,137,High,Ambrosia,artemisiifolia,NA,elatior,NA,NA,1.17,10.212929999999998
30,8,2007,242,137,High,Amorpha,canescens,NA,NA,NA,NA,159.17,1389.3949299999997
30,8,2007,242,137,High,Asclepias,tuberosa,NA,NA,NA,NA,2.57,22.433529999999998
30,8,2007,242,137,High,Bouteloua,gracilis,NA,NA,NA,NA,0.23,2.00767
30,8,2007,242,137,High,Coreopsis,palmata,NA,NA,NA,NA,0.57,4.975529999999999
30,8,2007,242,137,High,Crepis,tectorum,NA,NA,NA,NA,1,8.729
30,8,2007,242,137,High,Cyperus,NA,NA,NA,NA,NA,0.7,6.110299999999999
30,8,2007,242,137,High,Erigeron,canadensis,NA,NA,NA,NA,0.2,1.7458
30,8,2007,242,137,High,Hedeoma,NA,NA,NA,NA,NA,1.4,12.220599999999997
30,8,2007,242,137,High,Hieracium,aurantiacum,NA,NA,NA,NA,0.23,2.00767
30,8,2007,242,137,High,Leptoloma,cognatum,NA,NA,NA,NA,0.73,6.37217
30,8,2007,242,137,High,Lespedeza,capitata,NA,NA,NA,NA,0.2,1.7458
30,8,2007,242,137,High,Linaria,vulgaris,NA,NA,NA,NA,0.13,1.1347699999999998
30,8,2007,242,137,High,Lupinus,perennis,NA,NA,NA,NA,0.23,2.00767
30,8,2007,242,137,High,Lychnis,alba,NA,NA,NA,NA,0.67,5.84843
30,8,2007,242,137,High,,NA,Miscellaneous litter,NA,NA,NA,0.57,4.975529999999999
30,8,2007,242,137,High,Rumex,acetosella,NA,NA,NA,NA,2.23,19.46567
30,8,2007,242,137,High,Schizachyrium,scoparium,NA,NA,NA,NA,0.97,8.46713
21,8,2007,233,137,Low,Agropyron,repens,NA,NA,NA,NA,7.6,66.34039999999999
21,8,2007,233,137,Low,Amorpha,canescens,NA,NA,NA,NA,136.7,1193.2542999999998
21,8,2007,233,137,Low,Aristida,basiramea,NA,NA,NA,NA,5.27,46.00182999999999
21,8,2007,233,137,Low,Crepis,tectorum,NA,NA,NA,NA,0.67,5.84843
21,8,2007,233,137,Low,Hedeoma,NA,NA,NA,NA,NA,2.73,23.83017
21,8,2007,233,137,Low,Lespedeza,capitata,NA,NA,NA,NA,0.1,0.8729
21,8,2007,233,137,Low,Liatris,NA,NA,NA,NA,NA,0.17,1.48393
20,8,2007,232,137,Low,Lychnis,alba,NA,NA,NA,NA,0.14,1.22206
21,8,2007,233,137,Low,Monarda,fistulosa,NA,NA,NA,NA,0.77,6.721329999999999
21,8,2007,233,137,Low,Physalis,virginiana,NA,NA,NA,NA,0.47,4.1026299999999996
21,8,2007,233,137,Low,Rumex,acetosella,NA,NA,NA,NA,5.73,50.01717
21,8,2007,233,137,Low,Schizachyrium,scoparium,NA,NA,NA,NA,9.03,78.82286999999998
21,8,2007,233,137,Low,Taraxicum,officinalis,NA,NA,NA,NA,0.1,0.8729
21,8,2007,233,138,Control,,NA,Unsorted biomass,NA,NA,NA,209.42,1828.0271799999998
23,8,2007,235,138,High,Agropyron,repens,NA,NA,NA,NA,2.67,23.30643
23,8,2007,235,138,High,Andropogon,gerardi,NA,NA,NA,NA,3.97,34.65413
23,8,2007,235,138,High,Bouteloua,curtipendula,NA,NA,NA,NA,3.23,28.19467
23,8,2007,235,138,High,Bouteloua,gracilis,NA,NA,NA,NA,0.23,2.00767
23,8,2007,235,138,High,Koeleria,cristata,NA,NA,NA,NA,5.47,47.747629999999994
23,8,2007,235,138,High,Leptoloma,cognatum,NA,NA,NA,NA,1.47,12.831629999999999
23,8,2007,235,138,High,Liatris,NA,NA,NA,NA,NA,166.4,1452.5056
23,8,2007,235,138,High,,NA,Miscellaneous litter,NA,NA,NA,3.87,33.78123
23,8,2007,235,138,High,Panicum,oligosanthes,NA,NA,NA,NA,3.03,26.448869999999996
23,8,2007,235,138,High,Schizachyrium,scoparium,NA,NA,NA,NA,4.43,38.66947
23,8,2007,235,138,High,Sorghastrum,nutans,NA,NA,NA,NA,0.9,7.8561
23,8,2007,235,138,High,Sporobolus,cryptandrus,NA,NA,NA,NA,0.63,5.499269999999999
28,8,2007,240,138,Low,Achillea,millefolium,NA,lanulosa,NA,NA,0.1,0.8729
28,8,2007,240,138,Low,Agropyron,repens,NA,NA,NA,NA,2.83,24.703069999999997
28,8,2007,240,138,Low,Agrostis,scabra,NA,NA,NA,NA,0.23,2.00767
28,8,2007,240,138,Low,Bouteloua,curtipendula,NA,NA,NA,NA,0.27,2.35683
