Day,Month,Year,Sample_DOY,Plot,Heat_Treatment,Species_name,Miscellaneous,Subspecies,Other,Prev_names,Mass_g_per_m2
24,8,2007,236,64,Low,Bouteloua gracilis,NA,NA,NA,NA,27.1
24,8,2007,236,64,Low,Coreopsis palmata,NA,NA,NA,NA,4.4
24,8,2007,236,64,Low,Koeleria cristata,NA,NA,NA,NA,0.83
24,8,2007,236,64,Low,Lespedeza capitata,NA,NA,NA,NA,44.1
24,8,2007,236,64,Low,Liatris aspera,NA,NA,NA,NA,14
24,8,2007,236,64,Low,Lupinus perennis,NA,NA,NA,NA,27.87
24,8,2007,236,64,Low,,Miscellaneous litter,NA,NA,NA,1.87
24,8,2007,236,64,Low,Petalostemum candidum,NA,NA,NA,NA,3
24,8,2007,236,64,Low,Petalostemum purpureum,NA,NA,NA,NA,9.33
24,8,2007,236,64,Low,Schizachyrium scoparium,NA,NA,NA,NA,10.97
24,8,2007,236,64,Low,Solidago rigida,NA,NA,NA,NA,39.57
24,8,2007,236,64,Low,Sporobolus cryptandrus,NA,NA,NA,NA,0.6
20,8,2007,232,69,Control,,Unsorted biomass,NA,NA,NA,58.85
20,8,2007,232,69,High,Achillea millefolium ,NA,lanulosa,NA,NA,3.53
20,8,2007,232,69,High,Agropyron repens,NA,NA,NA,NA,0.37
20,8,2007,232,69,High,Aristida basiramea,NA,NA,NA,NA,6.53
20,8,2007,232,69,High,Crepis tectorum,NA,NA,NA,NA,0.83
20,8,2007,232,69,High,Cyperus sp.,NA,NA,NA,NA,3.17
20,8,2007,232,69,High,Digitaria sp.,NA,NA,NA,NA,0.1
20,8,2007,232,69,High,Erigeron canadensis,NA,NA,NA,NA,8.33
20,8,2007,232,69,High,Hedeoma hispida,NA,NA,NA,NA,1.3
20,8,2007,232,69,High,Lepidium densiflorum,NA,NA,NA,NA,0.13
20,8,2007,232,69,High,Lupinus perennis,NA,NA,NA,NA,0.37
20,8,2007,232,69,High,,Miscellaneous litter,NA,NA,NA,0.7
20,8,2007,232,69,High,Physalis virginiana,NA,NA,NA,NA,0.43
20,8,2007,232,69,High,Taraxicum officinalis,NA,NA,NA,NA,0.06
24,8,2007,236,69,Low,Achillea millefolium ,NA,lanulosa,NA,NA,2.97
24,8,2007,236,69,Low,Agrostis scabra,NA,NA,NA,NA,0.47
24,8,2007,236,69,Low,Ambrosia artemisiifolia ,NA,elatior,NA,NA,0.47
24,8,2007,236,69,Low,Aristida basiramea,NA,NA,NA,NA,9.53
24,8,2007,236,69,Low,Bouteloua gracilis,NA,NA,NA,NA,0.1
24,8,2007,236,69,Low,Crepis tectorum,NA,NA,NA,NA,1.33
24,8,2007,236,69,Low,Cyperus sp.,NA,NA,NA,NA,1.7
24,8,2007,236,69,Low,Eragrostis spectabilis,NA,NA,NA,NA,1.63
24,8,2007,236,69,Low,Erigeron canadensis,NA,NA,NA,NA,2.67
24,8,2007,236,69,Low,Hedeoma hispida,NA,NA,NA,NA,0.2
24,8,2007,236,69,Low,Lespedeza capitata,NA,NA,NA,NA,0.1
24,8,2007,236,69,Low,,Miscellaneous litter,NA,NA,NA,0.93
24,8,2007,236,69,Low,Physalis virginiana,NA,NA,NA,NA,1.97
24,8,2007,236,69,Low,Schizachyrium scoparium,NA,NA,NA,NA,0.23
23,8,2007,235,78,Control,Amorpha canescens,NA,NA,NA,NA,9.3
21,8,2007,233,78,Control,,Unsorted biomass,NA,NA,NA,216.13
23,8,2007,235,78,High,Andropogon gerardi,NA,NA,NA,NA,22.6
23,8,2007,235,78,High,Bouteloua gracilis,NA,NA,NA,NA,0.73
23,8,2007,235,78,High,Lespedeza capitata,NA,NA,NA,NA,7.03
23,8,2007,235,78,High,Lupinus perennis,NA,NA,NA,NA,20.9
23,8,2007,235,78,High,Petalostemum purpureum,NA,NA,NA,NA,0.3
23,8,2007,235,78,High,Poa pratensis,NA,NA,NA,NA,1.3
23,8,2007,235,78,High,Schizachyrium scoparium,NA,NA,NA,NA,10.87
23,8,2007,235,78,High,Solidago rigida,NA,NA,NA,NA,133
23,8,2007,235,78,High,Sorghastrum nutans,NA,NA,NA,NA,1.4
28,8,2007,240,78,Low,Amorpha canescens,NA,NA,NA,NA,47.8
28,8,2007,240,78,Low,Andropogon gerardi,NA,NA,NA,NA,19.1
28,8,2007,240,78,Low,Bouteloua gracilis,NA,NA,NA,NA,9.93
28,8,2007,240,78,Low,Coreopsis palmata,NA,NA,NA,NA,1.03
28,8,2007,240,78,Low,Erigeron canadensis,NA,NA,NA,NA,4.17
28,8,2007,240,78,Low,Lespedeza capitata,NA,NA,NA,NA,9.53
28,8,2007,240,78,Low,Liatris aspera,NA,NA,NA,NA,11.03
28,8,2007,240,78,Low,Lupinus perennis,NA,NA,NA,NA,10.27
28,8,2007,240,78,Low,Petalostemum purpureum,NA,NA,NA,NA,6.53
28,8,2007,240,78,Low,Poa pratensis,NA,NA,NA,NA,0.9
28,8,2007,240,78,Low,Schizachyrium scoparium,NA,NA,NA,NA,10.83
28,8,2007,240,78,Low,Solidago nemoralis,NA,NA,NA,NA,3.43
28,8,2007,240,78,Low,Solidago rigida,NA,NA,NA,NA,9.47
20,8,2007,232,82,Control,,Unsorted biomass,NA,NA,NA,230.83
28,8,2007,240,82,High,Achillea millefolium ,NA,lanulosa,NA,NA,0.33
28,8,2007,240,82,High,Agropyron repens,NA,NA,NA,NA,0.07
28,8,2007,240,82,High,Andropogon gerardi,NA,NA,NA,NA,136.63
28,8,2007,240,82,High,Lespedeza capitata,NA,NA,NA,NA,16.13
28,8,2007,240,82,High,Liatris aspera,NA,NA,NA,NA,15.13
28,8,2007,240,82,High,Lupinus perennis,NA,NA,NA,NA,45.7
28,8,2007,240,82,High,Panicum virgatum,NA,NA,NA,NA,0.47
28,8,2007,240,82,High,Poa pratensis,NA,NA,NA,NA,11.6
28,8,2007,240,82,High,Schizachyrium scoparium,NA,NA,NA,NA,27.1
28,8,2007,240,82,High,Solidago rigida,NA,NA,NA,NA,0.93
28,8,2007,240,82,High,Sorghastrum nutans,NA,NA,NA,NA,0.5
28,8,2007,240,82,Low,Achillea millefolium ,NA,lanulosa,NA,NA,0.13
28,8,2007,240,82,Low,Agropyron repens,NA,NA,NA,NA,0.6
28,8,2007,240,82,Low,Andropogon gerardi,NA,NA,NA,NA,61.8
28,8,2007,240,82,Low,Liatris aspera,NA,NA,NA,NA,3.73
28,8,2007,240,82,Low,Lupinus perennis,NA,NA,NA,NA,80.1
28,8,2007,240,82,Low,Panicum virgatum,NA,NA,NA,NA,2.4
28,8,2007,240,82,Low,Poa pratensis,NA,NA,NA,NA,22.67
28,8,2007,240,82,Low,Schizachyrium scoparium,NA,NA,NA,NA,69.7
28,8,2007,240,82,Low,Solidago rigida,NA,NA,NA,NA,1.53
28,8,2007,240,82,Low,Sorghastrum nutans,NA,NA,NA,NA,10.9
21,8,2007,233,83,Control,,Unsorted biomass,NA,NA,NA,163.38
23,8,2007,235,83,High,Achillea millefolium ,NA,lanulosa,NA,NA,0.07
23,8,2007,235,83,High,Agropyron repens,NA,NA,NA,NA,16.8
23,8,2007,235,83,High,Aristida basiramea,NA,NA,NA,NA,1.87
23,8,2007,235,83,High,Crepis tectorum,NA,NA,NA,NA,0.53
23,8,2007,235,83,High,Cyperus sp.,NA,NA,NA,NA,0.47
23,8,2007,235,83,High,Erigeron canadensis,NA,NA,NA,NA,1.37
23,8,2007,235,83,High,Euphorbia glyptosperma,NA,NA,NA,NA,0.15
23,8,2007,235,83,High,Hieracium aurantiacum,NA,NA,NA,NA,0.53
23,8,2007,235,83,High,Lepidium densiflorum,NA,NA,NA,NA,0
23,8,2007,235,83,High,Lespedeza capitata,NA,NA,NA,NA,0.9
23,8,2007,235,83,High,Lupinus perennis,NA,NA,NA,NA,28.77
23,8,2007,235,83,High,Panicum oligosanthes,NA,NA,NA,NA,2.07
23,8,2007,235,83,High,Polygonum convolvulus,NA,NA,NA,NA,0.1
23,8,2007,235,83,High,Rumex acetosella,NA,NA,NA,NA,1.9
23,8,2007,235,83,High,Sorghastrum nutans,NA,NA,NA,NA,0.13
23,8,2007,235,83,High,Taraxicum officinalis,NA,NA,NA,NA,0.5
30,8,2007,242,83,Low,Achillea millefolium ,NA,lanulosa,NA,NA,0.05
30,8,2007,242,83,Low,Agropyron repens,NA,NA,NA,NA,64.47
30,8,2007,242,83,Low,Aristida basiramea,NA,NA,NA,NA,0.4
30,8,2007,242,83,Low,Crepis tectorum,NA,NA,NA,NA,0.1
30,8,2007,242,83,Low,Cyperus sp.,NA,NA,NA,NA,3.37
30,8,2007,242,83,Low,Erigeron canadensis,NA,NA,NA,NA,0.7
30,8,2007,242,83,Low,Euphorbia glyptosperma,NA,NA,NA,NA,0.17
30,8,2007,242,83,Low,Lepidium densiflorum,NA,NA,NA,NA,0.17
30,8,2007,242,83,Low,Lespedeza capitata,NA,NA,NA,NA,1.67
30,8,2007,242,83,Low,Lupinus perennis,NA,NA,NA,NA,94.5
30,8,2007,242,83,Low,Polygonum convolvulus,NA,NA,NA,NA,0.13
21,8,2007,233,105,Control,,Unsorted biomass,NA,NA,NA,165.1
23,8,2007,235,105,High,Andropogon gerardi,NA,NA,NA,NA,3.87
23,8,2007,235,105,High,Bouteloua gracilis,NA,NA,NA,NA,4.73
23,8,2007,235,105,High,Coreopsis palmata,NA,NA,NA,NA,1.53
22,8,2007,234,105,High,Koeleria cristata,NA,NA,NA,NA,0.06
23,8,2007,235,105,High,Lespedeza capitata,NA,NA,NA,NA,30.1
23,8,2007,235,105,High,Liatris aspera,NA,NA,NA,NA,17.77
23,8,2007,235,105,High,Lupinus perennis,NA,NA,NA,NA,65.8
23,8,2007,235,105,High,Panicum virgatum,NA,NA,NA,NA,2.63
22,8,2007,234,105,High,Polygonum convolvulus,NA,NA,NA,NA,0.06
23,8,2007,235,105,High,Schizachyrium scoparium,NA,NA,NA,NA,25.17
23,8,2007,235,105,High,Solidago rigida,NA,NA,NA,NA,5.77
23,8,2007,235,105,High,Sorghastrum nutans,NA,NA,NA,NA,2.7
24,8,2007,236,105,Low,Amorpha canescens,NA,NA,NA,NA,27.67
24,8,2007,236,105,Low,Andropogon gerardi,NA,NA,NA,NA,41.5
24,8,2007,236,105,Low,Bouteloua gracilis,NA,NA,NA,NA,9.63
24,8,2007,236,105,Low,Coreopsis palmata,NA,NA,NA,NA,17.07
24,8,2007,236,105,Low,Crepis tectorum,NA,NA,NA,NA,0.13
24,8,2007,236,105,Low,Lespedeza capitata,NA,NA,NA,NA,3.23
24,8,2007,236,105,Low,Lupinus perennis,NA,NA,NA,NA,44.13
24,8,2007,236,105,Low,Petalostemum villosum,NA,NA,NA,NA,2.3
24,8,2007,236,105,Low,Schizachyrium scoparium,NA,NA,NA,NA,45.37
24,8,2007,236,105,Low,Solidago nemoralis,NA,NA,NA,NA,4.07
24,8,2007,236,105,Low,Solidago rigida,NA,NA,NA,NA,65.53
24,8,2007,236,105,Low,Sorghastrum nutans,NA,NA,NA,NA,2.27
24,8,2007,236,105,Low,Stipa spartea,NA,NA,NA,NA,1.63
21,8,2007,233,108,Control,,Unsorted biomass,NA,NA,NA,349.93
22,8,2007,234,108,High,Amorpha canescens,NA,NA,NA,NA,33.2
22,8,2007,234,108,High,Andropogon gerardi,NA,NA,NA,NA,33.1
22,8,2007,234,108,High,Bouteloua gracilis,NA,NA,NA,NA,4.6
22,8,2007,234,108,High,Cyperus sp.,NA,NA,NA,NA,0.43
22,8,2007,234,108,High,Eragrostis spectabilis,NA,NA,NA,NA,0.17
22,8,2007,234,108,High,Koeleria cristata,NA,NA,NA,NA,0.27
22,8,2007,234,108,High,Lespedeza capitata,NA,NA,NA,NA,0.2
22,8,2007,234,108,High,Liatris aspera,NA,NA,NA,NA,0.83
22,8,2007,234,108,High,Lupinus perennis,NA,NA,NA,NA,35.8
22,8,2007,234,108,High,,Miscellaneous litter,NA,NA,NA,1.23
22,8,2007,234,108,High,Panicum oligosanthes,NA,NA,NA,NA,0.09
22,8,2007,234,108,High,Panicum virgatum,NA,NA,NA,NA,1.63
22,8,2007,234,108,High,Petalostemum purpureum,NA,NA,NA,NA,23.63
22,8,2007,234,108,High,Poa pratensis,NA,NA,NA,NA,1.03
22,8,2007,234,108,High,Schizachyrium scoparium,NA,NA,NA,NA,82
22,8,2007,234,108,High,Sorghastrum nutans,NA,NA,NA,NA,4.97
22,8,2007,234,108,High,Sporobolus cryptandrus,NA,NA,NA,NA,3.63
30,8,2007,242,108,Low,Amorpha canescens,NA,NA,NA,NA,109.53
30,8,2007,242,108,Low,Andropogon gerardi,NA,NA,NA,NA,33.9
30,8,2007,242,108,Low,Bouteloua gracilis,NA,NA,NA,NA,0.37
30,8,2007,242,108,Low,Koeleria cristata,NA,NA,NA,NA,3.13
30,8,2007,242,108,Low,Liatris aspera,NA,NA,NA,NA,0.7
30,8,2007,242,108,Low,Lupinus perennis,NA,NA,NA,NA,29.13
30,8,2007,242,108,Low,,Miscellaneous litter,NA,NA,NA,6.83
30,8,2007,242,108,Low,Petalostemum purpureum,NA,NA,NA,NA,11.63
30,8,2007,242,108,Low,Poa pratensis,NA,NA,NA,NA,6.97
30,8,2007,242,108,Low,Schizachyrium scoparium,NA,NA,NA,NA,25.4
30,8,2007,242,108,Low,Sorghastrum nutans,NA,NA,NA,NA,14.47
30,8,2007,242,108,Low,Sporobolus cryptandrus,NA,NA,NA,NA,0.83
20,8,2007,232,109,Control,,Unsorted biomass,NA,NA,NA,54.85
28,8,2007,240,109,High,Agrostis scabra,NA,NA,NA,NA,0.08
28,8,2007,240,109,High,Andropogon gerardi,NA,NA,NA,NA,36.97
28,8,2007,240,109,High,Bouteloua gracilis,NA,NA,NA,NA,0.43
28,8,2007,240,109,High,Koeleria cristata,NA,NA,NA,NA,0.1
28,8,2007,240,109,High,Schizachyrium scoparium,NA,NA,NA,NA,5.13
28,8,2007,240,109,High,Sorghastrum nutans,NA,NA,NA,NA,1.93
24,8,2007,236,109,Low,Andropogon gerardi,NA,NA,NA,NA,64.2
24,8,2007,236,109,Low,Bouteloua gracilis,NA,NA,NA,NA,0.63
23,8,2007,235,109,Low,Cyperus sp.,NA,NA,NA,NA,0.31
23,8,2007,235,109,Low,Digitaria sp.,NA,NA,NA,NA,0.18
24,8,2007,236,109,Low,Lespedeza capitata,NA,NA,NA,NA,1.7
24,8,2007,236,109,Low,,Miscellaneous litter,NA,NA,NA,1.13
23,8,2007,235,109,Low,Sporobolus cryptandrus,NA,NA,NA,NA,0.27
24,8,2007,236,109,Low,Stipa spartea,NA,NA,NA,NA,0.93
20,8,2007,232,110,Control,,Unsorted biomass,NA,NA,NA,163.13
20,8,2007,232,110,High,Agropyron repens,NA,NA,NA,NA,1.7
20,8,2007,232,110,High,Andropogon gerardi,NA,NA,NA,NA,22.67
20,8,2007,232,110,High,Bouteloua gracilis,NA,NA,NA,NA,0.13
20,8,2007,232,110,High,Cyperus sp.,NA,NA,NA,NA,0.03
20,8,2007,232,110,High,Lespedeza capitata,NA,NA,NA,NA,56.8
20,8,2007,232,110,High,Lupinus perennis,NA,NA,NA,NA,30.33
20,8,2007,232,110,High,Panicum oligosanthes,NA,NA,NA,NA,0.67
20,8,2007,232,110,High,Panicum virgatum,NA,NA,NA,NA,76.37
20,8,2007,232,110,High,Poa pratensis,NA,NA,NA,NA,15.23
20,8,2007,232,110,High,Sorghastrum nutans,NA,NA,NA,NA,37.13
20,8,2007,232,110,High,Sporobolus cryptandrus,NA,NA,NA,NA,2.3
30,8,2007,242,110,Low,Agropyron repens,NA,NA,NA,NA,1.13
30,8,2007,242,110,Low,Andropogon gerardi,NA,NA,NA,NA,33.3
30,8,2007,242,110,Low,Bouteloua gracilis,NA,NA,NA,NA,0.1
30,8,2007,242,110,Low,Eragrostis spectabilis,NA,NA,NA,NA,3.53
30,8,2007,242,110,Low,Lespedeza capitata,NA,NA,NA,NA,60.03
30,8,2007,242,110,Low,Liatris aspera,NA,NA,NA,NA,0.33
30,8,2007,242,110,Low,Lupinus perennis,NA,NA,NA,NA,22.7
30,8,2007,242,110,Low,Panicum oligosanthes,NA,NA,NA,NA,0.43
30,8,2007,242,110,Low,Panicum virgatum,NA,NA,NA,NA,90.77
30,8,2007,242,110,Low,Poa pratensis,NA,NA,NA,NA,12.6
30,8,2007,242,110,Low,Schizachyrium scoparium,NA,NA,NA,NA,19.7
30,8,2007,242,110,Low,Sorghastrum nutans,NA,NA,NA,NA,19.37
21,8,2007,233,137,Control,,Unsorted biomass,NA,NA,NA,197.8
30,8,2007,242,137,High,Agropyron repens,NA,NA,NA,NA,23.43
30,8,2007,242,137,High,Ambrosia artemisiifolia ,NA,elatior,NA,NA,1.17
30,8,2007,242,137,High,Amorpha canescens,NA,NA,NA,NA,159.17
30,8,2007,242,137,High,Asclepias tuberosa,NA,NA,NA,NA,2.57
30,8,2007,242,137,High,Bouteloua gracilis,NA,NA,NA,NA,0.23
30,8,2007,242,137,High,Coreopsis palmata,NA,NA,NA,NA,0.57
30,8,2007,242,137,High,Crepis tectorum,NA,NA,NA,NA,1
30,8,2007,242,137,High,Cyperus sp.,NA,NA,NA,NA,0.7
30,8,2007,242,137,High,Erigeron canadensis,NA,NA,NA,NA,0.2
30,8,2007,242,137,High,Hedeoma hispida,NA,NA,NA,NA,1.4
30,8,2007,242,137,High,Hieracium aurantiacum,NA,NA,NA,NA,0.23
30,8,2007,242,137,High,Leptoloma cognatum,NA,NA,NA,NA,0.73
30,8,2007,242,137,High,Lespedeza capitata,NA,NA,NA,NA,0.2
30,8,2007,242,137,High,Linaria vulgaris,NA,NA,NA,NA,0.13
30,8,2007,242,137,High,Lupinus perennis,NA,NA,NA,NA,0.23
30,8,2007,242,137,High,Lychnis alba,NA,NA,NA,NA,0.67
30,8,2007,242,137,High,,Miscellaneous litter,NA,NA,NA,0.57
30,8,2007,242,137,High,Rumex acetosella,NA,NA,NA,NA,2.23
30,8,2007,242,137,High,Schizachyrium scoparium,NA,NA,NA,NA,0.97
21,8,2007,233,137,Low,Agropyron repens,NA,NA,NA,NA,7.6
21,8,2007,233,137,Low,Amorpha canescens,NA,NA,NA,NA,136.7
21,8,2007,233,137,Low,Aristida basiramea,NA,NA,NA,NA,5.27
21,8,2007,233,137,Low,Crepis tectorum,NA,NA,NA,NA,0.67
21,8,2007,233,137,Low,Hedeoma hispida,NA,NA,NA,NA,2.73
21,8,2007,233,137,Low,Lespedeza capitata,NA,NA,NA,NA,0.1
21,8,2007,233,137,Low,Liatris aspera,NA,NA,NA,NA,0.17
20,8,2007,232,137,Low,Lychnis alba,NA,NA,NA,NA,0.14
21,8,2007,233,137,Low,Monarda fistulosa,NA,NA,NA,NA,0.77
21,8,2007,233,137,Low,Physalis virginiana,NA,NA,NA,NA,0.47
21,8,2007,233,137,Low,Rumex acetosella,NA,NA,NA,NA,5.73
21,8,2007,233,137,Low,Schizachyrium scoparium,NA,NA,NA,NA,9.03
21,8,2007,233,137,Low,Taraxicum officinalis,NA,NA,NA,NA,0.1
21,8,2007,233,138,Control,,Unsorted biomass,NA,NA,NA,209.42
23,8,2007,235,138,High,Agropyron repens,NA,NA,NA,NA,2.67
23,8,2007,235,138,High,Andropogon gerardi,NA,NA,NA,NA,3.97
23,8,2007,235,138,High,Bouteloua curtipendula,NA,NA,NA,NA,3.23
23,8,2007,235,138,High,Bouteloua gracilis,NA,NA,NA,NA,0.23
23,8,2007,235,138,High,Koeleria cristata,NA,NA,NA,NA,5.47
23,8,2007,235,138,High,Leptoloma cognatum,NA,NA,NA,NA,1.47
23,8,2007,235,138,High,Liatris aspera,NA,NA,NA,NA,166.4
23,8,2007,235,138,High,,Miscellaneous litter,NA,NA,NA,3.87
23,8,2007,235,138,High,Panicum oligosanthes,NA,NA,NA,NA,3.03
23,8,2007,235,138,High,Schizachyrium scoparium,NA,NA,NA,NA,4.43
23,8,2007,235,138,High,Sorghastrum nutans,NA,NA,NA,NA,0.9
23,8,2007,235,138,High,Sporobolus cryptandrus,NA,NA,NA,NA,0.63
28,8,2007,240,138,Low,Achillea millefolium ,NA,lanulosa,NA,NA,0.1
28,8,2007,240,138,Low,Agropyron repens,NA,NA,NA,NA,2.83
28,8,2007,240,138,Low,Agrostis scabra,NA,NA,NA,NA,0.23
28,8,2007,240,138,Low,Bouteloua curtipendula,NA,NA,NA,NA,0.27
28,8,2007,240,138,Low,Cyperus sp.,NA,NA,NA,NA,0.9
28,8,2007,240,138,Low,Koeleria cristata,NA,NA,NA,NA,6.13
28,8,2007,240,138,Low,Liatris aspera,NA,NA,NA,NA,304.17
28,8,2007,240,138,Low,Schizachyrium scoparium,NA,NA,NA,NA,5.47
28,8,2007,240,138,Low,Sorghastrum nutans,NA,NA,NA,NA,6.5
21,8,2007,233,167,Control,,Unsorted biomass,NA,NA,NA,281.52
23,8,2007,235,167,High,Agropyron repens,NA,NA,NA,NA,0.73
22,8,2007,234,167,High,Aristida basiramea,NA,NA,NA,NA,0.02
23,8,2007,235,167,High,Crepis tectorum,NA,NA,NA,NA,0.3
22,8,2007,234,167,High,Cyperus sp.,NA,NA,NA,NA,0.08
22,8,2007,234,167,High,Hedeoma hispida,NA,NA,NA,NA,0.02
23,8,2007,235,167,High,Liatris aspera,NA,NA,NA,NA,139.23
23,8,2007,235,167,High,,Miscellaneous litter,NA,NA,NA,3.9
22,8,2007,234,167,High,Poa pratensis,NA,NA,NA,NA,0.03
22,8,2007,234,167,High,Polygonum tenue,NA,NA,NA,NA,0.09
22,8,2007,234,167,High,Rumex acetosella,NA,NA,NA,NA,0.31
23,8,2007,235,167,High,Trifolium repens,NA,NA,NA,NA,0.77
21,8,2007,233,167,Low,Crepis tectorum,NA,NA,NA,NA,0.37
21,8,2007,233,167,Low,Cyperus sp.,NA,NA,NA,NA,0.53
20,8,2007,232,167,Low,Hedeoma hispida,NA,NA,NA,NA,0.03
21,8,2007,233,167,Low,Liatris aspera,NA,NA,NA,NA,136.97
21,8,2007,233,167,Low,,Miscellaneous litter,NA,NA,NA,24.73
21,8,2007,233,167,Low,Petalostemum purpureum,NA,NA,NA,NA,1
21,8,2007,233,167,Low,Polygonum tenue,NA,NA,NA,NA,1
21,8,2007,233,167,Low,Rumex acetosella,NA,NA,NA,NA,0.67
21,8,2007,233,167,Low,Schizachyrium scoparium,NA,NA,NA,NA,1
20,8,2007,232,167,Low,Silene antirrhina,NA,NA,NA,NA,0.02
21,8,2007,233,176,Control,,Unsorted biomass,NA,NA,NA,136.18
23,8,2007,235,176,High,Agrostis scabra,NA,NA,NA,NA,3.53
23,8,2007,235,176,High,Andropogon gerardi,NA,NA,NA,NA,0.9
23,8,2007,235,176,High,Cyperus sp.,NA,NA,NA,NA,0.9
23,8,2007,235,176,High,Eragrostis spectabilis,NA,NA,NA,NA,0.83
23,8,2007,235,176,High,Liatris aspera,NA,NA,NA,NA,178.63
23,8,2007,235,176,High,,Miscellaneous litter,NA,NA,NA,22.5
22,8,2007,234,176,High,Monarda fistulosa,NA,NA,NA,NA,0.09
23,8,2007,235,176,High,Panicum virgatum,NA,NA,NA,NA,64.77
23,8,2007,235,176,High,Poa pratensis,NA,NA,NA,NA,2.33
23,8,2007,235,176,High,Sorghastrum nutans,NA,NA,NA,NA,4.23
23,8,2007,235,176,High,Sporobolus cryptandrus,NA,NA,NA,NA,3.6
24,8,2007,236,176,Low,Agrostis scabra,NA,NA,NA,NA,0.83
23,8,2007,235,176,Low,Cyperus sp.,NA,NA,NA,NA,0.05
24,8,2007,236,176,Low,Koeleria cristata,NA,NA,NA,NA,4.2
24,8,2007,236,176,Low,Liatris aspera,NA,NA,NA,NA,100.3
24,8,2007,236,176,Low,,Miscellaneous litter,NA,NA,NA,12.53
24,8,2007,236,176,Low,Panicum virgatum,NA,NA,NA,NA,45.47
23,8,2007,235,176,Low,Poa pratensis,NA,NA,NA,NA,0.15
24,8,2007,236,176,Low,Schizachyrium scoparium,NA,NA,NA,NA,2.2
24,8,2007,236,176,Low,Sorghastrum nutans,NA,NA,NA,NA,54.83
24,8,2007,236,176,Low,Taraxicum officinalis,NA,NA,NA,NA,0.23
21,8,2007,233,201,Control,,Unsorted biomass,NA,NA,NA,174.65
21,8,2007,233,201,High,Agropyron repens,NA,NA,NA,NA,0.23
20,8,2007,232,201,High,Bouteloua gracilis,NA,NA,NA,NA,0.07
21,8,2007,233,201,High,Eragrostis spectabilis,NA,NA,NA,NA,0.57
21,8,2007,233,201,High,Lespedeza capitata,NA,NA,NA,NA,17.6
21,8,2007,233,201,High,Petalostemum purpureum,NA,NA,NA,NA,81.97
21,8,2007,233,201,High,Poa pratensis,NA,NA,NA,NA,6.1
21,8,2007,233,201,High,Schizachyrium scoparium,NA,NA,NA,NA,10.9
21,8,2007,233,201,High,Sorghastrum nutans,NA,NA,NA,NA,67.83
